               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11895,            0.039401,            0.029572,           0.0051098,             0.12121,           0.0034599,          0.00096874,             0.10829,            0.033655,            0.027188,               0.091,               0.001,               0.001
                   1,             0.10015,            0.042793,            0.025915,           0.0093518,             0.39394,            0.022604,           0.0057501,            0.084559,            0.036158,            0.022085,            0.080684,           0.0016842,           0.0016842
                   2,             0.08931,            0.049529,            0.021899,             0.15052,             0.45076,             0.21734,            0.072131,            0.069769,            0.035781,             0.01575,            0.069933,           0.0019328,           0.0019328
                   3,             0.08124,            0.046879,             0.01734,             0.40228,             0.55303,             0.40848,             0.14904,            0.065892,            0.033563,            0.011543,            0.058746,           0.0017458,           0.0017458
                   4,            0.075041,            0.046628,            0.013635,              0.4328,             0.62121,             0.48462,             0.17449,            0.063869,            0.033088,           0.0095886,            0.047123,           0.0011232,           0.0011232
