               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11769,            0.036979,            0.029811,           0.0036835,            0.086464,           0.0021504,          0.00083029,             0.10979,            0.027278,            0.027462,              0.0829,              0.0019,              0.0019
                   1,             0.10366,            0.039897,            0.027067,           0.0053127,             0.44057,            0.006687,           0.0016047,            0.092598,            0.027728,            0.024844,            0.064128,           0.0031278,           0.0031278
                   2,            0.097364,            0.040375,            0.023548,           0.0066462,             0.62324,            0.020754,           0.0054043,            0.086774,            0.027812,            0.022498,            0.044564,           0.0035636,           0.0035636
                   3,            0.092656,            0.042349,            0.020995,            0.007237,             0.66134,            0.037481,            0.009086,            0.084692,            0.027679,            0.021217,            0.024207,           0.0032074,           0.0032074
                   4,            0.090744,            0.045859,            0.019622,            0.013538,             0.60077,            0.048387,             0.01201,            0.082799,            0.027681,            0.020337,           0.0030592,           0.0020592,           0.0020592
