               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1209,            0.038506,            0.029966,           0.0034779,            0.049242,           0.0020815,           0.0006721,             0.11932,            0.031537,            0.028524,               0.091,               0.001,               0.001
                   1,             0.11131,            0.037741,            0.028314,           0.0072404,             0.18561,           0.0046792,           0.0014248,             0.10311,            0.031434,            0.026449,            0.080684,           0.0016842,           0.0016842
                   2,             0.10485,            0.041588,            0.026947,           0.0073652,             0.34091,           0.0088161,           0.0019964,            0.090683,            0.032138,             0.02392,            0.069933,           0.0019328,           0.0019328
                   3,            0.098907,            0.040816,            0.025283,           0.0079637,             0.49242,            0.020079,           0.0043026,            0.084984,            0.032611,            0.021837,            0.058746,           0.0017458,           0.0017458
                   4,             0.09587,            0.041707,            0.022789,           0.0079337,             0.59848,            0.018509,           0.0047335,            0.081783,            0.032917,            0.020535,            0.047123,           0.0011232,           0.0011232
